,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Goupil le Fol,50.84540338436713,4.352286512636795,Bar
1,Le Dillens,50.831825200630696,4.349135191553573,Bar
2,Enjoy Brussels,50.838,4.3593,Bar
3,Monk,50.850166344832175,4.347424907994204,Bar
4,Café Bizon,50.848531999501795,4.3477094283984385,Bar
5,Bar des Amis,50.85004194036918,4.347844682997416,Bar
6,Het Goudblommeke in Papier / La Fleur en Papier Doré (Het Goudblommeke in Papier),50.84291081896891,4.3508106866977885,Bar
7,Café Maison du Peuple,50.830628413406565,4.345457945067308,Bar
8,Le Coq,50.84869108931785,4.348760873024262,Bar
9,Au Soleil,50.84563375939977,4.348006211001726,Bar
10,Zebra Bar,50.84813030113714,4.347616143982469,Bar
11,Recyclart,50.84151395313035,4.34791361217189,Bar
12,Scott's Bar,50.84874252542113,4.356048897582442,Bar
13,L'Athénée,50.83505799482763,4.366393726723182,Bar
14,Chez Alex,50.83713,4.3488655,Bar
15,Barbeton,50.851861837905744,4.343912728269447,Bar
16,Cabraliego,50.83787622608294,4.349482248229143,Bar
17,Stam,50.835787485168225,4.3662893308224495,Bar
18,La Brocante,50.83734584631797,4.346902444057847,Bar
19,Cobra Bar,50.84879847955602,4.347640787699869,Bar
20,The Bar,50.84774855645385,4.351632958203887,Bar
21,The Sister Brussels Café,50.8473274545691,4.352871038449149,Bar
22,Crystal Lounge,50.836345185918276,4.35704258452144,Lounge
23,La Pharmacie Anglaise,50.84322046787868,4.358173607106561,Cocktail Bar
24,Estaminet Toone,50.8475401912748,4.353900113103415,Bar
25,Café Roskam,50.850795953161644,4.347002432142303,Bar
26,Rock Classic Bar,50.84621735535435,4.34868797309194,Bar
27,La Porte Noire,50.84283175736571,4.351165308160305,Beer Bar
28,Café Bebo,50.842544833227365,4.34567517575699,Bar
29,Dakterras Beursschouwburg,50.84874371871753,4.348570682580925,Bar
30,Booze'n Blues,50.84697725888256,4.346732778297492,Bar
31,Café Caberdouche,50.84981865135713,4.366616989117434,Bar
32,AB Café & Resto,50.84741383049077,4.349421415644489,Bar
33,La Machine,50.8483,4.34742,Bar
34,Le Fontainas,50.8455040646007,4.34760051462639,Bar
35,Archipel,50.84916049205031,4.349960352122743,Bar
36,AB Foyer,50.84733946192155,4.348696200884418,Bar
37,Robinet,50.833357,4.345566,Bar
38,Arion Bar,50.83325773256375,4.356557948320214,Bar
39,Supra Bailly,50.825723791512424,4.3598878670319205,Bar
40,Les Brasseurs,50.847853374044924,4.349086396907962,Bar
41,Claire's Café,50.850643915273494,4.357786257399246,Bar
42,Loui Bar,50.83262190591555,4.358016162437025,Cocktail Bar
43,L'Amour Fou,50.83261139804372,4.366794351150558,Bar
44,À la Mort Subite,50.84872671940585,4.356016483512712,Bar
45,Coaster City,50.848122645614204,4.354303390371563,Bar
46,L'Archiduc,50.849118416318525,4.347694778173118,Jazz Club
47,La Belladone,50.82525258642435,4.353462723323804,Bar
48,Bonnefooi,50.84741129717347,4.34939788502277,Music Venue
49,Au Daringman,50.85137985740514,4.346595764391319,Bar
50,Mappa Mundo,50.84825147046431,4.347650266574013,Pub
51,Bar du Marché,50.82657487076172,4.372992788151812,Bar
52,Café La Pompe,50.82569,4.347081,Bar
53,Le Pantin,50.828110197103214,4.3712072309084915,Bar
54,Le Roi des Belges,50.8482834973115,4.34768552660457,Bar
55,Floris Bar,50.848435325115446,4.35401960025546,Cocktail Bar
56,Capital Bar,50.84408089016962,4.369360756958734,Bar
57,La Biche,50.82535236942963,4.345876477340053,Bar
58,Café Belga,50.827110198175454,4.372188995582081,Bar
59,Café Walvis,50.853050530204094,4.341809147613659,Bar
60,Café Merlo,50.853219581916676,4.346878852693158,Bar
61,LOFT Resto & Bar,50.83989692150364,4.360196089619271,Bar
62,Café Luxembourg,50.83936855910704,4.372876467275242,Cocktail Bar
63,Le Roy d'Espagne (Den Coninck van Spaignien),50.847175,4.352079,Bar
64,La Famille,50.82567,4.359973,Bar
65,Grizzly,50.825497,4.3584685,Bar
66,Lord Byron,50.84883213638924,4.347206271903248,Bar
67,RITCS Café,50.850375405334816,4.346003270351907,Bar
68,Flip Bar,50.8265762705004,4.375276793061368,Bar
69,Le Cheval Marin,50.853603278364425,4.346496286898328,Bar
70,Le Prétexte,50.82572570088749,4.35458013678177,Bar
71,Le Murmure,50.82675433245548,4.3738302412137635,Bar
72,Pentahotel Brussels City Centre,50.831038018418305,4.356431978600612,Hotel
73,The Big Game,50.848076245141215,4.349649864202136,Sports Bar
