,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Parking Toison d'Or,50.83745103073136,4.359342032463138,Parking
1,Interparking,50.83809583,4.35266834,Parking
2,Parking Poelaert,50.837492962563694,4.353179199670226,Parking
3,Parking Boulevard de Waterloolaan,50.83665511871317,4.357625283546952,Parking
4,Parking Deux Portes,50.837973028845816,4.359945751053376,Parking
5,Interparking,50.83677854,4.3582016,Parking
6,Interparking,50.83721681,4.35987868,Parking
7,Interparking,50.83853388,4.36128147,Parking
8,Parking advocaten justitiepaleis,50.837782446316226,4.351148664163872,Parking
9,White Atrium Parking,50.83545983028558,4.353813247332375,Parking
10,Q-Park Louise,50.83516559546888,4.357509362455289,Parking
11,BePark Place du Luxembourg (Hôtel Renaissance),50.8386,4.37116,Parking
12,Parking Albertine,50.84417709494323,4.356809060092021,Parking
13,Zenpark,50.834142888039366,4.355745633358326,Parking
14,Zenpark,50.8348125,4.35048765,Parking
15,Parking Ecuyer / Schildknaap,50.84936954121731,4.353347241897973,Parking
16,Parking Wiltcher's,50.83226397250514,4.3574237985559945,Parking
17,Parking Rouppe,50.84309670144605,4.3468791544136,Parking
18,Interparking,50.83337835,4.34959523,Parking
19,Interparking,50.83205925,4.35848455,Parking
20,Interparking,50.83381029,4.36390717,Parking
21,Interparking Grand Place / Grote Markt,50.84664999,4.35533844,Parking
22,BePark Square de Meeus,50.8409,4.36806,Parking
23,Parking Panorama,50.84451895291233,4.346376573051875,Parking
24,BePark Stéphanie (Hotel Thon Bristol),50.83106001988805,4.358130991458893,Parking
25,Parking Brussels Pentahotel,50.830879914821296,4.356401411921266,Parking
26,Parking De Brouckère,50.85061602601852,4.352099751467035,Parking
27,BePark Gare du Midi (Park Inn Radisson),50.8353,4.33768,Parking
28,Parking Tulipe,50.83488487932463,4.36782812578577,Parking
29,Parking Bruxelles Guimard - ALFAPARK,50.8438787,4.36871309,Parking
30,Rue du Cardinal Mercier Coach Stand,50.84652144193955,4.357598311532968,Parking
31,Parking Wet / Loi,50.843882,4.375728,Parking
32,Interparking,50.84282555,4.37011382,Parking
33,BePark Madou,50.8485263890657,4.372177720069885,Parking
34,Interparking,50.84920501,4.35332391,Parking
35,Interparking,50.84528327,4.36950023,Parking
36,Parking Royale,50.849087,4.362794,Parking
37,Q-Park Lepage,50.85195187307396,4.345320448004259,Parking
38,BePark Maelbeek,50.8454356972623,4.377107620239258,Parking
39,Parking Centrale,50.84260264415522,4.339532161969116,Parking
40,Parking Monnaie / Munt (Parking Munt),50.850267813956194,4.352832486797146,Parking
41,Interparking,50.85041766,4.35383222,Parking
42,Place du Jeu de Balle / Vossenplein (Vossenplein),50.837031367382366,4.345822334289551,Plaza
43,Buspark Pachecolaan,50.85069384530714,4.361491147935154,Parking
44,Interparking HQ,50.85093215,4.35196315,Parking
45,Interparking,50.85069775,4.35042279,Parking
46,Parking Louise,50.82802247219055,4.363478812841931,Parking
47,Q-Park Pacheco,50.851514700560834,4.362296857166484,Parking
48,Parking Koolstraat,50.852313693052764,4.357422777420895,Parking
49,Parking Finance Tower,50.85182571411133,4.362127780914307,Parking
50,Interparking - Alhambra,50.852411459293755,4.352902793468202,Parking
51,Parking Alambra,50.85244914459408,4.352953993198088,Parking
52,Zenpark,50.8270605,4.36540742,Parking
53,Q-Park Centre / Centrum (Q-Park Centrum),50.852666362135054,4.357742462510907,Parking
54,Q-Park Dansaert,50.851126687297935,4.345657621186547,Parking
55,Parking Passage 44,50.85258266598718,4.361452764197869,Parking
56,Interparking,50.85256327,4.36158091,Parking
57,Q-Park Gare du Midi / Zuidstation (Q-Park Zuidstation),50.83663854979036,4.334400620296151,Parking
58,Carambla Parking Madou Residence,50.849862520644976,4.370627403259277,Parking
59,Parking Gare du Midi,50.83607787456219,4.334139020017931,Parking
60,Interparking City 2,50.85374242,4.35890193,Parking
61,Parking Scailquin,50.85009676913748,4.37175661915025,Parking
62,Parking Cantillana,50.83557302761189,4.3331697797753055,Parking
63,Interparking - Rogier,50.85540878,4.359233,Parking
64,Interparking,50.8545749,4.36005901,Parking
65,Parking Flagey,50.8273175003598,4.372333851307494,Parking
66,Parking Botanique - St Jean,50.85480549268066,4.359889769990086,Parking
67,Parking Bota,50.854530864924996,4.368004231727109,Parking
68,Parking Brunfaut,50.85245999858968,4.338611971709089,Parking
69,Parking Manhattan,50.85642417532512,4.358696427653129,Parking
70,BePark Rogier,50.85678134262488,4.357205629348755,Parking
71,BePark Schuman Berlaymont,50.8448,4.38258,Parking
72,Publicis Parking Girlzzz,50.85671789653901,4.350907196316337,Parking
73,Rivoli Parking,50.82256837188678,4.367002509310495,Parking
74,UNO.brussels,50.8278847914606,4.355414983332524,Office
75,Place du Châtelain / Kasteleinsplein (Kasteleinsplein),50.82440794925596,4.359995610868414,Plaza
76,Sofitel Brussels Europe,50.83771963132431,4.381183222547406,Hotel
77,Place Jourdanplein (Jourdanplein),50.83693033926298,4.381239880792541,Plaza
78,Best Western Hotel Royal Centre,50.85099823062853,4.364328905940056,Hotel
79,Place Poelaertplein (Poelaertplein),50.83764116413087,4.352731704711914,Plaza
80,Spirito Brussels,50.837315311210695,4.361349663186756,Nightclub
81,Novotel Brussels off Grand' Place,50.84622654914489,4.355093538018309,Hotel
82,Havas Brussels,50.85052295177834,4.357237815856934,Office
83,Place Saint-Boniface / Sint-Bonifaasplein (Sint-Bonifaasplein),50.8357659884764,4.364917738823159,Plaza
84,Hotel Leopold Brussels,50.839372902202555,4.37075701384147,Hotel
85,Hilton,50.84581774989487,4.356358742827001,Hotel
86,Brussels Marriott Hotel Grand Place,50.84873637932642,4.3490999937057495,Hotel
87,Renaissance Brussels Hotel,50.83790492180922,4.371853695770255,Hotel
88,Hotel NH Brussels Louise,50.83312791514117,4.356548147456346,Hotel
89,Parc Léopold / Leopoldpark (Leopoldpark),50.83860327168577,4.379167556762695,Park
90,Hotel Le Plaza Brussels,50.85438891383165,4.356394407941123,Hotel
91,The Hotel. Brussels,50.83715163876604,4.357427075134548,Hotel
92,Havas Media Belgium,50.83828515616862,4.369027333726586,Office
93,Forte Dei Marmi,50.83535421693553,4.379690879144079,Building
94,Place de la Liberté / Vrijheidsplein (Vrijheidsplein),50.84977794076287,4.366510265790139,Plaza
95,Hotel NH Brussels Grand Place Arenberg,50.84850971186592,4.357477536857077,Hotel
96,Test Aankoop / Test Achats,50.83474137741394,4.338233382390913,Office
97,Bedford Hotel & Congress Centre,50.844184641117224,4.347417416501308,Hotel
98,Hilton Garden Inn,50.832336603243654,4.35029647284674,Hotel
99,The Dominican,50.84923972999581,4.354787995107472,Hotel
100,Zenpark,50.85151553,4.38599506,Parking
101,D'Ieteren Meiser,50.85385671268017,4.393779742515494,Automotive Shop
102,BePark ERM - Jamblinne de Meux,50.84547973047375,4.395003318786621,Parking
103,Parking Cinquantenaire,50.840411,4.394165,Parking
104,BePark Roodebeek Diamant,50.84802681166203,4.398999810218811,Parking
105,Parking Parc / Park (Parking Park),50.86007521588712,4.367470569863836,Parking
106,Parking Smets,50.855013964197845,4.399526774973763,Parking
107,Parking,50.85344476389898,4.401055366038522,Parking
108,BePark - Parking Smets (Chaussée de Louvain),50.8552,4.4015,Parking
109,parking rtbf,50.85103828459765,4.403861819701079,Parking
110,Interparking CCN - Brussel Noord,50.85921549,4.35930445,Parking
111,Jubelpark / Parc du Cinquantenaire (Jubelpark),50.84065361162879,4.3921894543526925,Park
112,SD Worx,50.85632562313604,4.366697181436266,Office
113,Housing Hotel Brussels,50.85140330721298,4.388529171744127,Hotel
114,Claridge,50.849225664002034,4.371013151278158,Event Space
115,Agoria,50.851003616423995,4.402167377413379,Office
116,VRT,50.85340186729599,4.402957127926127,TV Station
117,Hotel NH Brussels Bloom,50.85527399058396,4.366679504774524,Hotel
118,Google Brussels,50.83928164707134,4.380948482833532,Office
119,Courtyard by Marriott Brussels EU,50.8459819,4.3718087,Hotel
120,Motel One Brussels,50.84868669999999,4.3631291,Hotel
121,Securex Pavillon,50.8385296092906,4.400529415580736,Office
122,Groupe Multimédia IPM S.A.,50.83705850233952,4.399813563959666,Office
123,B-Aparthotels Ambiorix,50.84599997511754,4.384315016857049,Hotel
124,City 2 Shopping Mall,50.85444762657691,4.358337008147628,Shopping Mall
125,Shopping Linthout,50.84249408714244,4.401043676890114,Shopping Mall
126,Nine City Event,50.854562282071946,4.4001822365879635,Event Space
127,Megabus Stop (BRU),50.84653837477415,4.3577721834334175,Bus Line
128,Hôpital Baron Lambert Ziekenhuis (Iris Sud / Iris Zuid),50.834833186656475,4.389171902916755,Hospital
129,Villo! Place Saint-Jean / Sint-Jansplein (036) (Villo! Sint-Jansplein (036)),50.84512407642433,4.351484477519989,Bike Rental / Bike Share
130,BePark Cours Saint Michel (ING),50.8361,4.40121,Parking
131,Parking Securex CSM,50.83659354436659,4.4008599294760495,Parking
132,Hakuna Matata,50.82233778553935,4.381385241861017,Parking
133,ING Belgium,50.83593824530313,4.399879280415275,Office
134,Hôpitaux Iris Sud Site d'Etterbeek-Ixelles / Iris Ziekenhuizen Zuid Campus Etterbeek-Elsene (Iris Ziekenhuizen Zuid Campus Etterbeek-Elsene),50.825386108538225,4.3789905309677115,Hospital
135,TBWA \ Brussels,50.825276257768046,4.384230552043682,Coworking Space
136,VIPOFFICES,50.83473707567971,4.405870524812403,Office
137,TIMESMORE x+,50.834714392994954,4.40606785725885,Event Space
138,Interparking WTC,50.86133386,4.35707032,Parking
139,Parking KBC Bruhav2,50.859908230313714,4.346084829472159,Parking
140,Parking Kbc BruHav6,50.860658472051284,4.3463606575796145,Parking
141,parking KBC BRUhav12,50.86185537058096,4.347386047429448,Parking
142,Tour & Taxis,50.864583470420854,4.348762035369873,Event Space
143,Landbouw & Visserij Vlaanderen,50.86287637591127,4.3595638076401935,Office
