,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Genco,50.841465468301266,4.353082880796765,Italian Restaurant
1,COCO Donuts,50.84121933608233,4.355315395955761,Donut Shop
2,Chez Richard,50.84135655151986,4.353860490837147,Gastropub
3,Au Vieux Saint Martin,50.84098420935296,4.354737304494475,Belgian Restaurant
4,À l'Ombre de la Ville,50.839148954093744,4.360859340596551,Italian Restaurant
5,Café des Minimes,50.8394158455922,4.35285311353758,Bistro
6,Les Petits Oignons,50.839327,4.35517,Brasserie
7,Bol,50.84048132396721,4.359800254986037,Salad Place
8,Senzanome,50.84022053593366,4.35659709335632,Modern European Restaurant
9,Il Passatempo,50.84039680575445,4.359848604127714,Italian Restaurant
10,San Sablon,50.841455653806825,4.352328687266131,French Restaurant
11,Le Perroquet,50.839444736206175,4.35375987365937,Brasserie
12,Thérèse & Dominique,50.834178,4.354898,Sandwich Place
13,Le III'ème Acte,50.83942608278255,4.353314360830822,Restaurant
14,"C'est Bon C'est Belge - ""La Terrasse""",50.842025,4.352583,Belgian Restaurant
15,Lola,50.8406,4.35478,Brasserie
16,Le Pain Quotidien,50.84004,4.35536,Bakery
17,La Pizza è Bella,50.8418,4.35383,Italian Restaurant
18,Colonel,50.83390264555281,4.355229366918499,Steakhouse
19,L'Aubette,50.838715061662626,4.348405613581639,Restaurant
20,Berlin Fabrik,50.84091360388832,4.351438879966736,Burger Joint
21,Nonno Piadineria,50.83833855085722,4.3499085275306015,Sandwich Place
22,Shuka,50.8364846672921,4.360712065792966,Restaurant
23,Peck 20,50.834575733457214,4.35505972282417,Breakfast Spot
24,L'Epicerie,50.8345212501941,4.361680499733127,Sandwich Place
25,El Fontan,50.837812320480644,4.349388911889659,Tapas Restaurant
26,Les Brigittines 'Aux Marches de la Chapelle',50.84137906146279,4.350601475217743,French Restaurant
27,Le Rabassier,50.841924399176555,4.35310413620878,Modern European Restaurant
28,Les Vignes du Liban,50.838608,4.350103,Lebanese Restaurant
29,LOFT Resto & Bar,50.83989692150364,4.360196089619271,Gastropub
30,.G-EA,50.83446511944978,4.354835921558278,French Restaurant
31,Chyl Cafe,50.83684290185589,4.35819189480127,Belgian Restaurant
32,Pois Chiche,50.84104,4.351324,Falafel Restaurant
33,Hana,50.83627465416241,4.36410475750093,Korean Restaurant
34,Tonton Garby,50.84525717039893,4.354858905083845,Sandwich Place
35,Nuovo Rosso,50.83354036199575,4.3525895339050535,Italian Restaurant
36,Pholaumi,50.83413143870965,4.355046453875077,Vietnamese Restaurant
37,Sophie Chocolat,50.835195959710845,4.359351975400904,Deli / Bodega
38,G Spud,50.83473657150337,4.355443573639909,Salad Place
39,AL JANNAH,50.84,4.34944,Restaurant
40,Caffe latte,50.840038843192836,4.367444825873085,Café
41,Chumadia,50.832476351308635,4.352264032488975,Eastern European Restaurant
42,Restobières,50.837,4.34756,Belgian Restaurant
43,Comme Chez Soi,50.84268760413438,4.345941559144616,French Restaurant
44,Certo,50.835687582071465,4.366687701310767,Italian Restaurant
45,L'Express,50.84611540754583,4.352709136465736,Middle Eastern Restaurant
46,Maison Dandoy - Louise,50.8339,4.35768,Bakery
47,Inzia,50.83604313477361,4.365731714673953,African Restaurant
48,Be Bō Būn,50.83416199070699,4.358822036725687,Vietnamese Restaurant
49,Les Larmes du Tigre,50.835661595995994,4.350712512282384,Thai Restaurant
50,Carlos,50.831609,4.354775,Sandwich Place
