,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Alliance française de Bruxelles-Europe,50.84261517840384,4.367413255534014,Language School
1,Eurospeak,50.836444189046276,4.360627406853096,School
2,amira language school,50.839813705506955,4.366746926866158,School
3,Huis van het Nederlands,50.84324558165325,4.3472426733529925,School
4,Sint-Jorisbasisschool,50.843541119874615,4.349656560838396,School
5,Train@Rail,50.84533242600474,4.357333025833841,School
6,b2b learning,50.833126119159864,4.358712842344009,School
7,Haute École Fransisco Ferrer - Terre Neuve 🎓,50.840081,4.345422,School
8,Nedaca - Nederlandse Academie,50.83091158541647,4.357981131561459,School
9,nieuwkinderland,50.838592470762315,4.342378495705069,School
10,Instituut Anneessens Funck,50.84071332708547,4.3418668625889465,School
11,Instituut Anneessens Funck,50.84623025091903,4.346302754859963,School
12,LABO 🔬🔬,50.834781818724835,4.369841500938955,School
13,conservatoire maison Béjart,50.848853,4.353699,School
14,Ecole du Bois Sauvage,50.833751540944654,4.3689951077756914,School
15,Athénée Léon Lepage (Atheneum Léon Lepage),50.846946,4.345514,School
16,Athenee Royal d'Ixelles,50.83063694476457,4.365458391268268,School
17,Ilmh - Auditore 14-01.,50.838986,4.372867,School
18,De Buiteling,50.84981206994804,4.34405972928097,School
19,ESA Saint-Luc,50.826651489583476,4.348843667631707,School
20,Skillslab Optiek,50.853179445054664,4.358851007495999,School
21,Institut Saint Jean-Baptiste de La Salle,50.82492546259164,4.352549479368511,School
22,Курсы русского языка (Centre culturel et scientifique de Russie),50.82786798231324,4.370805136645797,School
23,Institut Saint Louis,50.85368055525795,4.36045470213616,School
24,centre scolaire ma campagne,50.823945440682024,4.35609003454208,School
25,Ecole Sainte Marie Anderlecht,50.841777,4.330117,School
26,Centre Scolaire de Ma Campagne,50.822515259801364,4.356978985352551,School
27,LSI (Language Studies Brussels),50.84608877757727,4.380639076882295,School
28,CF2m,50.82540602435913,4.3387215380032815,School
29,EPFC,50.85140543143226,4.369728501544152,Language School
30,Athénée Robert Catteau,50.83885181875873,4.353136382537467,High School
31,Lycée Dachsbeck,50.84206566449052,4.355431296844157,High School
32,Sint-Jan Berchmanscollege,50.841758,4.348849,High School
33,Maria-Boodschaplyceum,50.84996554011301,4.345366288486977,High School
34,BUSO Zaveldal,50.838673426627885,4.3429800763017905,High School
35,De Kleurdoos - Vaartstraat,50.85470801844021,4.347663237198579,Daycare
36,Centre scolaire Eperonniers Mercelis,50.831375141838336,4.364819808752844,High School
37,Sint-Jan Berchmans Basisschool,50.84121000919808,4.345889389514923,Elementary School
38,Sint-Joris Basisschool,50.84434840247381,4.348429441452026,Elementary School
39,Athénée Maimonide,50.84169220190677,4.339937520120823,High School
40,Sint-Jorisbasisschool,50.83835822369486,4.343880645946715,Elementary School
41,Basisschool De Bron,50.83072076968555,4.3551920656297645,Elementary School
42,Le Jardin Des Ecoliers,50.83185308745943,4.365230681314698,Elementary School
43,Ecole Primaire specialisée L'Etoile Du Berger,50.831127146718906,4.364687421340077,Elementary School
44,Athénée Royal Victor Horta,50.827828982010224,4.346210994370093,High School
45,Lokaal 4207,50.84890771493222,4.356823150976953,College Classroom
